date,temperature
2023-11-11,20
2023-02-09,17
2023-11-09,24
2023-07-14,13
2023-07-17,24
2023-03-29,15
2023-01-03,21
2023-04-22,25
2023-12-09,18
2023-03-21,14
2023-02-11,20
2023-01-12,30
2023-10-19,30
2023-05-16,24
2023-12-19,16
2023-12-22,30
2023-09-24,22
2023-10-26,29
2023-01-14,14
2023-05-05,15
2023-01-27,15
2023-11-18,14
2023-02-22,14
2023-11-24,14
2023-11-01,15
2023-06-25,27
2023-05-12,16
2023-01-13,11
2023-06-02,23
2023-04-23,12
2023-10-27,21
2023-11-12,24
2023-11-21,27
2023-02-17,12
2023-09-26,21
2023-03-15,20
2023-04-06,27
2023-09-15,14
2023-10-06,15
2023-01-02,14
2023-10-07,21
2023-09-25,25
2023-01-21,29
2023-02-01,13
2023-04-29,22
2023-02-25,13
2023-04-20,28
2023-03-13,16
2023-03-27,13
2023-10-01,12
2023-01-22,17
2023-04-25,22
2023-06-21,17
2023-03-30,17
2023-12-10,30
2023-03-25,25
2023-09-19,27
2023-02-15,25
2023-03-22,25
2023-05-14,14
2023-11-15,27
2023-08-08,26
2023-04-30,28
2023-08-30,16
2023-06-08,21
2023-06-18,17
2023-04-28,28
2023-08-10,16
2023-06-01,20
2023-09-06,17
2023-03-31,28
2023-07-04,29
2023-05-09,20
2023-09-01,10
2023-06-29,16
2023-03-23,25
2023-07-13,16
2023-10-05,22
2023-12-06,14
2023-10-29,19
2023-01-17,17
2023-10-14,11
2023-08-15,29
2023-08-31,29
2023-09-16,25
2023-07-25,29
2023-05-03,20
2023-09-04,16
2023-08-13,11
2023-07-20,29
2023-10-11,13
2023-11-07,26
2023-06-09,30
2023-08-09,25
2023-12-31,26
2023-11-22,13
2023-10-24,17
2023-03-18,22
2023-05-06,14
2023-04-08,29
2023-03-24,19
2023-10-23,15
